Journal	Volume	Issue	Article	Author(s)	Discriptive	Inferential	Modelling	No stats	Number	allMethods
American Speech	89	4	â€œI DONT CARE ONE CENT WHAT [Ã˜] GOYING ON IN GREAT BRITTENâ€: BEDELETION IN IRISH ENGLISH	Kevin McCafferty				TRUE	0	  
American Speech	89	4	BURNED, DWELLED, DREAMED: THE EVOLUTION OF A MORPHOLOGICAL AMERICANISM AND THE ROLE OF PRESCRIPTIVE GRAMMAR WRITING	Lieselotte Anderwald				TRUE	0	  
American Speech	89	4	AMONG THE NEW WORDS	Benjamin Zimmer, Jane Solomon, and Charles E. Carson				TRUE	0	  
American Speech	89	4	VARIATION IN CHICANO ENGLISH: THE CASE OF FINAL (z) DEVOICING	Robert Bayley and Cory Holland	Rbrul				1	Rbrul  
Annual Review of Applied Linguistics	35		Voice Quality and Identity	Robert J. Podesva and Patrick Callier				TRUE	0	  
Annual Review of Applied Linguistics	35		Transnationalism, Multilingualism, and Identity	Patricia A. Duff				TRUE	0	  
Annual Review of Applied Linguistics	35		Translanguaging and Identity in Educational Settings	Angela Creese and Adrian Blackledge				TRUE	0	  
Annual Review of Applied Linguistics	35		Technologies, Identities, and Expressive Activity	Steven L. Thorne, Shannon Sauro and Bryan Smith				TRUE	0	  
Annual Review of Applied Linguistics	35		Social Class in Applied Linguistics	David Block				TRUE	0	  
Annual Review of Applied Linguistics	35		Learner Identity, Learner Agency, and the Assessment of Language Proficiency: Some Reflections Prompted by the Common European Framework of Reference for Languages	David Little and Gudrun Erickson				TRUE	0	  
Annual Review of Applied Linguistics	35		Identity in Academic Discourse	John Flowerdew and Simon Ho Wang				TRUE	0	  
Annual Review of Applied Linguistics	35		Identity in Written Discourse	Paul Kei Matsuda				TRUE	0	  
Annual Review of Applied Linguistics	35		Identity and a Model of Investment in Applied Linguistics	Ron Darvin and Bonny Norton				TRUE	0	  
Annual Review of Applied Linguistics	35		Heritage Language Education and Identity in the United States	Jennifer Leeman				TRUE	0	  
Annual Review of Applied Linguistics	35		Ethnic Identity and Second Language Learning	Pavel Trofimovich and Larisa TuruÅ¡eva				TRUE	0	  
Annual Review of Applied Linguistics	35		Analyzing Language Policy and Social Identification Across Heterogeneous Scales preview	Katherine S. Mortimer and Stanton Wortham				TRUE	0	  
Annual Review of Applied Linguistics	35		(Supra)National Identity and Language: Rethinking National and European Migration Policies and the Linguistic Integration of Migrants	Ruth Wodak and Salomi Boukala				TRUE	0	  
Annual Review of Applied Linguistics	35		Unmasking Identity: Speaker Profiling for Forensic Linguistic Purposes	Natalie Schilling and Alexandria Marsters	mean				1	mean  
Applied Linguistics	36	2	â€˜So You Are from England: Categorization and Cultural Reduction in Firsttime Conversation Lounge Encounters between Foreign Teachers and Japanese Students of EFL	Marion Nao				TRUE	0	  
Applied Linguistics	36	2	Towards a Theory of Diagnosis in Second and Foreign Language Assessment: Insights from Professional Practice Across Diverse Fields	J. Charles Alderson, Tineke Brunfaut, and Luke Harding				TRUE	0	  
Applied Linguistics	36	2	The Theoretical Research Article as a Reflection of Disciplinary Practices: The Case of Pure Mathematics	Maria Kuteeva and Lisa McGrath				TRUE	0	  
Applied Linguistics	36	2	Telling Stories and Making Social Relations: Transnational Womens Ways of Belonging in Intercultural Contexts	Hakyoon Lee				TRUE	0	  
Applied Linguistics	36	2	Involvement in University Classroom Discourse: Register Variation and Interactivity	Federica Barbieri	yes, precision and recall, mean, sd,				1	yes, precision and recall, mean, sd,  
Cognition	140		The divided mind of a disbeliever: Intuitive beliefs about nature as purposefully created among different groups of nonreligious adults	Elisa JÃ¤rnefelt, Caitlin F. Canfield, Deborah Kelemen		anova, fstatistca, Varimax (orthogonal) rotation , Cronbachs alpha, principal component analysis			5	 anova, fstatistca, Varimax (orthogonal) rotation , Cronbachs alpha, principal component analysis 
Cognition	140		Semantic facilitation in bilingual first language acquisition	Samuel Bilson, Hanako Yoshida, Crystal D. Tran, Elizabeth A. Woods, Thomas T. Hills		novel model, likelihood ratio test, MLE, growth curves, regression analysis, simulation, clustering coefficient, network analysis, paired ttest, Zscores			10	 novel model, likelihood ratio test, MLE, growth curves, regression analysis, simulation, clustering coefficient, network analysis, paired ttest, Zscores 
Cognition	140		Selective memory retrieval in social groups: When silence is golden and when it is not	Magdalena Abel, KarlHeinz T. BÃ¤uml		2chi2 anova,			1	 2chi2 anova, 
Cognition	140		Scale invariance of temporal order discrimination using complex, naturalistic events	Sze Chai Kwok, Emiliano Macaluso		Bayesian analysis function for anova designs , Onesample ttests, Cohens d , regression analyses, Levenes Test for Equality of Variances, SIMPLE model (Brown et al., 2007), Pearsons r,Bayesian statistics, anova<			9	 Bayesian analysis function for anova designs , Onesample ttests, Cohens d , regression analyses, Levenes Test for Equality of Variances, SIMPLE model (Brown et al., 2007), Pearsons r,Bayesian statistics, anova< 
Cognition	140		Neckers smile: Immediate affective consequences of early perceptual processes	Sascha Topolinski, Thorsten M. Erle, Rolf Reber	mean	anova, ttest, repeated measures anova<			4	mean anova, ttest, repeated measures anova< 
Cognition	140		Mothers modulate their gesture independently of their speech	Caitlin Hilliard, Elizabeth ONeal, Jodie Plumert, Susan Wagner Cook	mean, sd,	mixed effect model, correlation (Pearson's R),			3	mean, sd, mixed effect model, correlation (Pearson's R), 
Cognition	140		Me and we: Metacognition and performance evaluation of joint actions	Robrecht P.R.D. van der Wel		mixed linear model,Pearson correlation r, mixed model analysis, ttest			4	 mixed linear model,Pearson correlation r, mixed model analysis, ttest 
Cognition	140		Does hearing two dialects at different times help infants learn dialectspecific rules?	Kalim Gonzales, LouAnn Gerken, Rebecca L. GÃ³mez		Kolmogorovâ€“Smirnov test, anova, ttest, Kolmogorovâ€“Smirnov test,Mannâ€“Whitney 2 test, Wilcoxon Signed Rank test			6	 Kolmogorovâ€“Smirnov test, anova, ttest, Kolmogorovâ€“Smirnov test,Mannâ€“Whitney 2 test, Wilcoxon Signed Rank test 
Cognition	140		Constituents of political cognition: Race, party politics, and the alliance detection systemO	David Pietraszewski, Oliver Scott Curry, Michael Bang Petersen, Leda Cosmides, John Tooby	mean, sd,	f statisitcs, ttest, correlation,			4	mean, sd, f statisitcs, ttest, correlation, 
Cognition	140		Childrens understanding of the costs and rewards underlying rational action	Julian JaraEttinger, Hyowon Gweon, Joshua B. Tenenbaum, Laura E. Schulz	CI, mean, "above chance"				1	CI, mean, "above chance"  
Cognition	140		Auditory working memory predicts individual differences in absolute pitch learning	Stephen C. Van Hedger, Shannon L.M. Heald, Rachelle Koch, Howard C. Nusbaum		anova, sd, mean, Fisher LSD post hoc test, pearson's R, linear models, generalized mixedeffects model, multiple regressoin, Rsquared, Sobels Test for mediation, anova, regression model,			11	 anova, sd, mean, Fisher LSD post hoc test, pearson's R, linear models, generalized mixedeffects model, multiple regressoin, Rsquared, Sobels Test for mediation, anova, regression model, 
Computational Linguistics	41	1	Towards TopictoQuestion Generation	Yllias Chali, Sadid A. Hasan		Student's t test.	â€‚Latent Dirichlet Allocation, Extended String Subsequence Kernel		3	 Student's t test. â€‚Latent Dirichlet Allocation, Extended String Subsequence Kernel
Computational Linguistics	41	1	Multiple Adjunction in FeatureBased TreeAdjoining Grammar	Claire Gardent, Shashi Narayan			projectspecific		1	  projectspecific
Computational Linguistics	41	1	Crosslingual Sentiment Lexicon Learning With Bilingual Word Graph Label Propagation	Dehong Gao, Furu Wei, Wenjie Li, Xiaohua Liu, Ming Zhou	precision, recall				2	precision, recall  
Computational Linguistics	41	1	Concrete Models and Empirical Evaluations for the Categorical Compositional Distributional Model of Meaning	Edward Grefenstette, Mehrnoosh Sadrzadeh	mean	Spearman Ï scores	distributional semantic models		3	mean Spearman Ï scores distributional semantic models
Computational Linguistics	41	1	Automatic Adaptation of Annotations	Wenbin Jiang, Yajuan LÃ¼, Liang Huang, Qun Liu			balanced Fmeasure		1	  balanced Fmeasure
Deaf Studies Digital Journal	4		Two Views on Mathematics Education for Deaf Students: Edward Miner Gallaudet and Amos G. Draper	Chris Kurz				TRUE	0	  
Deaf Studies Digital Journal	4		Tracking our Sign Language Heritage	Ted Supalla, Matt Malzkuhn, Fanny Limousin				TRUE	0	  
Deaf Studies Digital Journal	4		Thoughts on the 150th Anniversary of the Founding of the Columbia Institution	James McPherson, Keith Gamache Jr				TRUE	0	  
Deaf Studies Digital Journal	4		The Women of Kendall Green: Coeducation at Gallaudet, 1860â€“1910	Lindsey Patterson, Janis Cole				TRUE	0	  
Deaf Studies Digital Journal	4		The Thomas Hopkins Gallaudet and Alice Cogswell Statue: Controversies and Celebrations	Mike Olson				TRUE	0	  
Deaf Studies Digital Journal	4		The Struggle to Educate Black Deaf School children in Washington, D.C.	Carolyn McCaskill, Sandra JowersBarber, Kim PudansSmith				TRUE	0	  
Deaf Studies Digital Journal	4		The Influence of Gallaudet University on the Leadership Development of American Indian Deaf Women	Damara Paris				TRUE	0	  
Deaf Studies Digital Journal	4		George Detmold, The Reformer	William Clemons, Ronald Sutcliffe				TRUE	0	  
Deaf Studies Digital Journal	4		Genesis of the National DeafMute College: High Classes in Schools for the Deaf	Chris Kurz, Kim Kurz				TRUE	0	  
Deaf Studies Digital Journal	4		Douglas Craig, 186?1936	Marieta Joyner, Felicia Williams, Stephanie Durand				TRUE	0	  
Deaf Studies Digital Journal	4		Black American Sign Language (ASL)	Carolyn McCaskill, Felicia Williams				TRUE	0	  
Deaf Studies Digital Journal	4		Andrew Jackson Foster: The Man, the Vision, and the ThirtyYear Uphill Climb	Isaac Agboola, Don Miller				TRUE	0	  
IEEE/ACM Transactions on Audio, Speech, and Language Processing	21	12	Understanding Effects of Subjectivity in Measuring Chord Estimation Accuracy	Yizhao Ni ; McVicar, M. ; SantosRodriguez, R. ; De Bie, T.	consensus accuracy,		Hidden Markov Model (HMM)		2	consensus accuracy,  Hidden Markov Model (HMM)
IEEE/ACM Transactions on Audio, Speech, and Language Processing	21	12	Soundfield Imaging in the Ray Space	Markovic, D. ; Antonacci, F. ; Sarti, A. ; Tubaro, S.			project specific		1	  project specific
IEEE/ACM Transactions on Audio, Speech, and Language Processing	21	12	Source/Filter Factorial Hidden Markov Model, With Application to Pitch and Formant Tracking	Durrieu, J.L. ; Thiran, J.P.		box plots,	Factorial Hidden Markov Models, variational approximation		3	 box plots, Factorial Hidden Markov Models, variational approximation
IEEE/ACM Transactions on Audio, Speech, and Language Processing	21	12	LinearlyConstrained MinimumVariance Method for Spherical Microphone Arrays Based on PlaneWave Decomposition of the Sound Field	Peled, Y. ; Rafaely, B.			simulation		1	  simulation
IEEE/ACM Transactions on Audio, Speech, and Language Processing	21	12	Investigations on an EMStyle Optimization Algorithm for Discriminative Training of HMMs	Heigold, G. ; Ney, H. ; Schluter, R.	Maximum Mutual Information (MMI) [2], [3], [4], Minimum Classification Error (MCE) [5], [6], and Minimum Phone Error (MPE)		HMMs, Maximum Likelihood (ML),		5	Maximum Mutual Information (MMI) [2], [3], [4], Minimum Classification Error (MCE) [5], [6], and Minimum Phone Error (MPE)  HMMs, Maximum Likelihood (ML),
IEEE/ACM Transactions on Audio, Speech, and Language Processing	21	12	HMM Based Intermediate Matching Kernel for Classification of Sequential Patterns of Speech Using Support Vector Machines	Dileep, A.D. ; Sekhar, C.C.			HMMs, minimum classification error (MCE), support vector machine (SVM) , Fisher kernel (FK) [11] and likelihood ratio kernel (LRK),GMM, POSTERIOR PROBABILITY WEIGHTED DYNAMIC KERNELS,		7	  HMMs, minimum classification error (MCE), support vector machine (SVM) , Fisher kernel (FK) [11] and likelihood ratio kernel (LRK),GMM, POSTERIOR PROBABILITY WEIGHTED DYNAMIC KERNELS,
IEEE/ACM Transactions on Audio, Speech, and Language Processing	21	12	GeometryBased Spatial Sound Acquisition Using Distributed Microphone Arrays	Thiergart, O. ; Del Galdo, G. ; Taseska, M. ; Habets, E.A.P.			parametric sound field model		1	  parametric sound field model
IEEE/ACM Transactions on Audio, Speech, and Language Processing	21	12	Epoch Extraction Based on Integrated Linear Prediction Residual Using Plosion Index	Prathosh, A.P. ; Ananthapadmanabha, T.V. ; Ramakrishnan, A.G.	identification rate (IDR), miss rate (MR), false alarm rate (FAR), identification accuracy (IDA) (The first three of the above are collectively called the reliability measures and the others are called the accuracy measures.)				4	identification rate (IDR), miss rate (MR), false alarm rate (FAR), identification accuracy (IDA) (The first three of the above are collectively called the reliability measures and the others are called the accuracy measures.)  
IEEE/ACM Transactions on Audio, Speech, and Language Processing	21	12	Dominance Based Integration of Spatial and Spectral Features for Speech Enhancement	Nakatani, T. ; Araki, S. ; Yoshioka, T. ; Delcroix, M. ; Fujimoto, M.			factorial model, project specifc model, Spatial Generative Model,		3	  factorial model, project specifc model, Spatial Generative Model,
IEEE/ACM Transactions on Audio, Speech, and Language Processing	21	12	Declipping of Audio Signals Using Perceptual Compressed Sensing	Declipping of Audio Signals Using Perceptual Compressed SensingDefraene, B. ; Mansour, N. ; De Hertogh, S. ; van Waterschoot, T. ; Diehl, M. ; Moonen, M.	SNR	WilcoxonMannWhitney tests			2	SNR WilcoxonMannWhitney tests 
IEEE/ACM Transactions on Audio, Speech, and Language Processing	21	12	CrossLingual Automatic Speech Recognition Using Tandem Features	Lal, P. ; King, S.			HMMs, Polyphone Decision Tree Specialization,MFCC		3	  HMMs, Polyphone Decision Tree Specialization,MFCC
IEEE/ACM Transactions on Audio, Speech, and Language Processing	21	12	Body Conducted Speech Enhancement by Equalization and Signal Fusion	Dekens, T. ; Verhelst, W.		Wilcoxon paired test	Linear predictive coding, Gaussian Mixture Model (GMM)		3	 Wilcoxon paired test Linear predictive coding, Gaussian Mixture Model (GMM)
IEEE/ACM Transactions on Audio, Speech, and Language Processing	21	12	A Class of Optimal Rectangular Filtering Matrices for SingleChannel Signal Enhancement in the Time Domain	Jensen, J.R. ; Benesty, J. ; Christensen, M.G. ; Jingdong Chen	meansquare error, SNR				2	meansquare error, SNR  
IEEE/ACM Transactions on Audio, Speech, and Language Processing	21	12	A Bag of Systems Representation for Music AutoTagging	Ellis, K. ; Coviello, E. ; Chan, A.B. ; Lanckriet, G.	precision and recall		dynamic texture mixture (DTM) models (i.e., linear dynamical systems), GMM, Multiclass Logistic Regression		5	precision and recall  dynamic texture mixture (DTM) models (i.e., linear dynamical systems), GMM, Multiclass Logistic Regression
International Journal of American Linguistics	81	3	Possessive Noun Incorporation in OjiCree	Tanya Slavin				TRUE	0	  
International Journal of American Linguistics	81	3	Enclitic Particles in Western Abenaki: Form and Function	Philip S. LeSourd				TRUE	0	  
International Journal of American Linguistics	81	3	A Survey of SwitchReference in North America	Andrew McKenzie				TRUE	0	  
International Journal of American Linguistics	81	3	A Monoclausal Analysis of Menominee WhQuestions	Meredith Johnson and Monica Macaulay				TRUE	0	  
Journal of Child Language Acquisition and Development	3	1	Use of polite request forms by Iranian firstgraders: Does gender make a difference?	Alireza Rasti, Saeed Mehrpour	mean				1	mean  
Journal of Child Language Acquisition and Development	3	1	True words, protowords and holophrastic words in typically developing Kannada speaking children:1224 months	Shishira S Bharadwaj, Sushma S, Sreedevi N	mean				1	mean  
Journal of Child Language Acquisition and Development	3	1	Postpredicate constituents and syntaxpragmatic interface in simultaneous bilingual and child second language acquisition of Turkish	Elena AntonovaÃœnlÃ¼	mean				1	mean  
Journal of Child Language Acquisition and Development	3	1	Phoneme complexity and frequency in the acquisition of Hebrew rhotics	Evan Gary Cohen	mean,				1	mean,  
Journal of Child Language Acquisition and Development	3	1	Emergence and patterns of Reduplicated and Variegated Babbling in Hindi and Malayalam: A crosslinguistic study	Reeny R, N. Sreedevi	Cronbachs alpha, mean, sd,	ztest, chi2, Mann Whitney U test for pairwise comparison			5	Cronbachs alpha, mean, sd, ztest, chi2, Mann Whitney U test for pairwise comparison 
Journal of Comparative Germanic Linguistics	17	3	Expressive intensifiers and external degree modification	Daniel Gutzmann, Katharina Turgay				TRUE	0	  
Journal of Comparative Germanic Linguistics	17	3	Reflexive choice in Dutch and German	Petra Hendriks, John C. J. Hoeks		anova, ) independent sample ttests,pairwise comparisons			3	 anova, ) independent sample ttests,pairwise comparisons 
Journal of Deaf Studies and Deaf Education	20	3	Traumatization in Deaf and HardofHearing Adult Psychiatric Outpatients	Beate Ã˜hre, Mette Perly Uthus, Stephen von Tetzchner, and Erik Falkum	mean, sd	Cronbachs alpha, ttest, correlation,			4	mean, sd Cronbachs alpha, ttest, correlation, 
Journal of Deaf Studies and Deaf Education	20	3	The Influence of Word Characteristics on the Vocabulary of Children With Cochlear Implants	Min Kyung Han, Holly L. Storkel, Jaehoon Lee, and Christine YoshinagaItano	mean, sd	ftest, Generalized linear mixed modeling, zscores			4	mean, sd ftest, Generalized linear mixed modeling, zscores 
Journal of Deaf Studies and Deaf Education	20	3	The Contribution of Verbal Working Memory to Deaf Childrens Oral and Written Production	Barbara ArfÃ©, Cristina Rossi, and Silvia Sicoli	mean, sd,	anova, ttest, pearson's r,	hierarchical regression analyses		5	mean, sd, anova, ttest, pearson's r, hierarchical regression analyses
Journal of Deaf Studies and Deaf Education	20	3	Sensitivity to Verb Bias in American Sign Languageâ€“English Bilinguals	Benjamin Anible, Paul Twitchell, Gabriel S. Waters, Paola E. Dussias, Pilar PiÃ±ar, and Jill P. Morford	mean, sd,	ttest, pearson's r, anova,			4	mean, sd, ttest, pearson's r, anova, 
Journal of Deaf Studies and Deaf Education	20	3	SelfReports Versus Parental Perceptions of HealthRelated Quality of Life Among Deaf Children and Adolescents	MarÃ­a JesÃºs PardoGuijarro, MarÃ­a MartÃ­nezAndrÃ©s, Blanca Notario Pacheco, Montserrat SoleraMartÃ­nez, Mairena SÃ¡nchezLÃ³pez, and Vicente MartÃ­nezVizcaÃ­no		Cronbachs alpha coefficient, Pearson correlations, anova,			3	 Cronbachs alpha coefficient, Pearson correlations, anova, 
Journal of Deaf Studies and Deaf Education	20	3	Examining a Sample of Black Deaf Individuals on the Deaf Acculturation Scale	Shawn S. Nelson Schmitt and Irene W. Leigh		Cronbachs alphas, Manova , Wilks lambda, Bartletts test of sphericity, chisquared, ttest			6	 Cronbachs alphas, Manova , Wilks lambda, Bartletts test of sphericity, chisquared, ttest 
Journal of Deaf Studies and Deaf Education	20	3	Evaluating the Effects of FunctionBased Interventions With Deaf or HardofHearing Students	Candace J. Gann, Sarah E. Gaines, Shirin D. Antia, John Umbreit, and Carl J. Liaupsin	mean, sd	pearson's r			2	mean, sd pearson's r 
Journal of Deaf Studies and Deaf Education	20	3	Enhancing Parentâ€“Child Communication and Parental SelfEsteem With a VideoFeedback Intervention: Outcomes With Prelingual Deaf and HardofHearing Children	Christa LamCassettari, Meghana B. WadnerkarKamble, and Deborah M. James		pearson's r, anova,			2	 pearson's r, anova, 
Journal of Deaf Studies and Deaf Education	20	3	Effects of Morphographic Instruction on the Morphographic Analysis Skills of Deaf and HardofHearing Students	Jessica W. Trussell and Susan R. Easterbrooks	mean				1	mean  
Journal of East Asian Linguistics	24	2	Loanwordspecific grammar in Japanese adaptations of Korean words and phrases	Shigeko Shinohara				TRUE	0	  
Journal of East Asian Linguistics	24	2	Gapless bei passives licensed by accomplishment events	TzongHong Jonah Lin				TRUE	0	  
Journal of East Asian Linguistics	24	2	Uncertainty in processing relative clauses across East Asian languages	Jiwon Yun, Zhong Chen, Tim Hunter, John Whitman			entropy		1	  entropy
Journal of Interpretation (Registry of Interpreters for the Deaf)	21	1	Intentional Teaming: Experiences from the Second National Healthcare Symposium	Paula L. Gajewski Mickelson and Patty Gordon				TRUE	0	  
Journal of Interpretation (Registry of Interpreters for the Deaf)	21	1	Workstation Ergonomics Improves Posture and Reduces Musculoskeletal Pain in Video Interpreters	Gretchen A. Roman and Vincent Samar	mean, sd, range,	ANCOVA, ttest, correlation,			4	mean, sd, range, ANCOVA, ttest, correlation, 
Journal of Interpretation (Registry of Interpreters for the Deaf)	21	1	Stress and Burnout in Video Relay Service (VRS) Interpreting	Kathryn Bower	mean,				1	mean,  
Journal of Interpretation (Registry of Interpreters for the Deaf)	21	1	Language Use at RID Conferences: A Survey on Behaviors and Perceptions	Cassie Lang	mean,	Pearson ChiSquare statistics			2	mean, Pearson ChiSquare statistics 
Journal of Interpretation (Registry of Interpreters for the Deaf)	21	1	Interpreting Students Perceptions of a Blended Degree Program	Len Roberson	mean				1	mean  
Journal of Interpretation (Registry of Interpreters for the Deaf)	21	1	Disfluent Pausing Effects on Listener Judgments of an ASLEnglish Interpretation	Stephen Fitzmaurice and Kim A. Purdy	mean, sd,	ttest			2	mean, sd, ttest 
Journal of Linguistics	51	1	Verbal prefixes in Russian: Conceptual structure versus syntax	INNA K. TOLSKAYA				TRUE	0	  
Journal of Linguistics	51	1	The â€˜feel like construction in Russian and its kin: Implications for the structure of the lexicon	ANASTASIA SMIRNOVA				TRUE	0	  
Journal of Linguistics	51	1	The origin of yesâ€“no question particles in the Niuean language	DONNA STARKS and DIANE MASSAM				TRUE	0	  
Journal of Linguistics	51	1	The Ã„iwoo verb phrase: Syntactic ergativity without pivots	Ã…SHILD NÃ†SS				TRUE	0	  
Journal of Linguistics	51	1	English binominal NPs: A constructionbased perspective	JONGBOK KIM and PETER SELLS				TRUE	0	  
Journal of Linguistics	51	1	Degree achievements, telicity and the verbal prefix meN in Malay	HOOI LING SOH and HIROKI NOMOTO				TRUE	0	  
Journal of Linguistics	51	1	Phonotactic constraints and subsyllabic structure: A difficult relationship	THOMAS BERG and CHRISTIAN KOOPS	onetailed Fisher Exact tests, Chisquared test, Pearson's r, Wilcoxon rank sum test				4	onetailed Fisher Exact tests, Chisquared test, Pearson's r, Wilcoxon rank sum test  
Journal of Memory and Language	83		The effect of contextual constraint on parafoveal processing in reading	Elizabeth R. Schotter, Michelle Lee, Michael Reiderman, Keith Rayner	mean,sd, standard errors	Pearsons r, LMM			4	mean,sd, standard errors Pearsons r, LMM 
Journal of Memory and Language	83		Testing enhances learning across a range of episodic memory abilities	Steven C. Pan, Harold Pashler, Zachary E. Potter, Timothy C. Rickard	mean, sd, Skew, Kurtosis, Reliability	ttesting, correlation, Fishers test			7	mean, sd, Skew, Kurtosis, Reliability ttesting, correlation, Fishers test 
Journal of Memory and Language	83		Referential precedents in spoken language comprehension: A review and metaanalysis	Edmundo KronmÃ¼ller, Dale J. Barr	Cohens d, mean,	10,000 bootstrap samples			3	Cohens d, mean, 10,000 bootstrap samples 
Journal of Memory and Language	83		Quantifiers are incrementally interpreted in context, more than less	Thomas P. Urbach, Katherine A. DeLong, Marta Kutas	mean, sd,	Welchs t, anova,			3	mean, sd, Welchs t, anova, 
Journal of Memory and Language	83		Phonological neighborhood competition affects spoken word production irrespective of sentential context	Neal P. Fox, Megan Reilly, Sheila E. Blumstein		twotailed paired ttest, lmer, Wilcoxon matchedpairs sign rank tests, chi2			4	 twotailed paired ttest, lmer, Wilcoxon matchedpairs sign rank tests, chi2 
Journal of Memory and Language	83		Looking for answers in all the wrong places: How testing facilitates learning of misinformation	Leamarie T. Gordon, Ayanna K. Thomas, John B. Bulevich	standard error	anova, Bonferroni correction, ttest, mixeddesign anova			5	standard error anova, Bonferroni correction, ttest, mixeddesign anova 
Journal of Memory and Language	83		Implicit and explicit contributions to statistical learning	Laura J. Batterink, Paul J. Reber, Helen J. Neville, Ken A. Paller	mean, sd, Cohens d	ttest, correlation, anova, onetailed test			6	mean, sd, Cohens d ttest, correlation, anova, onetailed test 
Journal of Memory and Language	83		Do classifiers make the syntactic count/mass distinction? Insights from ERPs in classifier processing in Japanese	Junko Kanero, Mutsumi Imai, Hiroyuki Okada, Noriko Hoshino		repeated measures anova , Tukeys honestly significant difference [HSD], Friedmans anova , chi2, Wilcoxon tests, Bonferronicorrected alpha			6	 repeated measures anova , Tukeys honestly significant difference [HSD], Friedmans anova , chi2, Wilcoxon tests, Bonferronicorrected alpha 
Journal of Memory and Language	83		Communicative efficiency in language production: Optional casemarking in Japanese	Chigusa Kurumada, T. Florian Jaeger	mean, sd,	chi2, mixed logit regression,ttest			4	mean, sd, chi2, mixed logit regression,ttest 
Journal of Phonetics	50		Place contrast enhancement: The case of the alveolar and retroflex sibilant production in two dialects of Mandarin	Yunghsiang Shawn Chang, Chilin Shih	mean,	linear mixedeffects model, Tukeyadjusted HSD, ttest, mixeddesign anova,		FALSE	5	mean, linear mixedeffects model, Tukeyadjusted HSD, ttest, mixeddesign anova, 
Journal of Phonetics	50		Nonnative phonemic discrimination, phonological short term memory, and word learning	Noah H. Silbert, Benjamin K. Smith, Scott R. Jackson, Susan G. Campbell, Meredith M. Hughes, Medha Tare	mean, med, sd	the comparative fit index (CFI), root mean squared error of approximation (RMSEA), standardized root mean squared residual (SRMR), the Akaike information criterion (), and chi2, pearson's r, Multilevel (i.e., randomintercept) generalized linear models	confirmatory factor analysis (CFA) models	FALSE	9	mean, med, sd the comparative fit index (CFI), root mean squared error of approximation (RMSEA), standardized root mean squared residual (SRMR), the Akaike information criterion (), and chi2, pearson's r, Multilevel (i.e., randomintercept) generalized linear models confirmatory factor analysis (CFA) models
Journal of Phonetics	50		Lexical stress and stop bursts in Pitjantjatjara: Feature enhancement of neutralized apicals and the coronal/velar contrast	Marija Tabain, Andrew Butcher	mean	Linear Mixed Effects model		FALSE	2	mean Linear Mixed Effects model 
Journal of Phonetics	50		CV coarticulation, locus and locus equation perspective on the invariance issue involving Algerian Arabic consonants	O. Bouferroum, M. Boudraa		pearson's r,	novel modelling, minimum distance algorithm, Quadratic Discriminant Analysis	FALSE	4	 pearson's r, novel modelling, minimum distance algorithm, Quadratic Discriminant Analysis
Journal of Phonetics	50		Crosslanguage similarity and difference in quantity categorization of Finnish and Japanese	Kenji Yoshida, Kenneth J. de Jong, John K. Kruschke, PiaMaria PÃ¤iviÃ¶	median, mean		Bayesian hierarchical logistic regression	FALSE	2	median, mean  Bayesian hierarchical logistic regression
Journal of Phonetics	50		A realtime MRI investigation of the role of lingual and pharyngeal articulation in the production of the nasal vowel system of French	Christopher Carignan, Ryan K. Shosted, Maojing Fu, ZhiPei Liang, Bradley P. Sutton		PCA, Linear mixed effects models		FALSE	2	 PCA, Linear mixed effects models 
Journal of Phonetics	50		A longitudinal study of the second language acquisition of a threeway stop contrast	Jeffrey J. Holliday	MEAN	anova, Manova, Posthoc Tukey HSD,		FALSE	4	MEAN anova, Manova, Posthoc Tukey HSD, 
