Journal	Volume	Issue	Article	Author(s)	Discriptive	Inferential	Modelling	No stats	Number	allMethods
Journal of Phonetics	50		Acoustic evidence for diachronic sound change in Korean prosody: A comparative study of the Seoul and South Kyungsang dialects	Hyunjung Lee, Allard Jongman	mean, sd,	General Linear Model (GLM) Analyses of Variance (anovas),		FALSE	3	mean, sd, General Linear Model (GLM) Analyses of Variance (anovas), 
Journal of Pragmatics	83		Stancetaking in the face of incongruity in Korean conversation	Mary Shin Kim	mean			FALSE	1	mean  
Journal of Pragmatics	83		Encoding subjectivity with totality: A corpusbased study of [zhengge yi (CL) + X] in MandarinOriginal	Haiping Wu	mean			FALSE	1	mean  
Journal of Pragmatics	83		â€œI am sure but I hedgeâ€: Fear expression kÇ’ngpÃ  as an interactive rhetorical strategy in Mandarin broadcast talk	Ying Yang, Foong Ha Yap				TRUE	0	  
Journal of Pragmatics	83		On the emergence of Korean markers of agreement	Seongha Rhee				TRUE	0	  
Journal of Pragmatics	83		Japanese interactional particles as a resource for stance building	Emi Morita				TRUE	0	  
Journal of Pragmatics	83		Grammar as an emergent response to interactional needs: A study of final kuntey â€˜but in Korean conversation	Stephanie Hyeri Kim, SungOck Sohn				TRUE	0	  
Journal of Pragmatics	83		Collaboratively organized stancetaking in Japanese: Sharing and negotiating stance within the turn constructional unit	Shimako Iwasaki				TRUE	0	  
Journal of Semantics	32	2	Three Ways to Avoid Commitments: Declarative Force Modifiers in the Conversational Scoreboard	Sophia A. Malamud and Tamina Stephenson				TRUE	0	  
Journal of Semantics	32	2	The Presuppositions of Soft Triggers are Obligatory Scalar Implicatures	Jacopo Romoli				TRUE	0	  
Journal of Semantics	32	2	QAdjectives and the Semantics of Quantity	Stephanie Solt				TRUE	0	  
Journal of Slavic Linguistics	22	2	Two Russian Hybirds	Ksenia Zanon				TRUE	0	  
Journal of Slavic Linguistics	22	2	The Involuntary State/feellike Construction:What Aspect Cannot Do	Franc MaruÅ¡iÄ and Rok Å½aucer				TRUE	0	  
Journal of Slavic Linguistics	22	2	Contraction in Russian Dialects: Evidence forParadigm Contrast	Christina Bethin				TRUE	0	  
Journal of Sociolinguistics	19	2	Systematic patterning in phonologicallymotivated orthographic variation	Jacob Eisenstein	mean, odds,	Fisher's exact test, mixed effects logistic regression		FALSE	4	mean, odds, Fisher's exact test, mixed effects logistic regression 
Journal of Sociolinguistics	19	2	Synchronic and diachronic variation in the use of spatial frames of reference: An analysis of Japanese route instruction (pages 133â€“160)	Kuniyoshi Kataoka and Yoshiyuki Asahi	mean,	GoldVarb analysis, Chisquare		FALSE	3	mean, GoldVarb analysis, Chisquare 
Journal of Sociolinguistics	19	2	You have full text access to this contentCoping with trauma in domestic migrant worker narratives: Linguistic, emotional and psychological perspectives	Hans J. Ladegaard				TRUE	0	  
Journal of Speech, Language, and Hearing Research	58	2	Vowel Space Characteristics of Speech Directed to Children With and Without Hearing Loss	Elizabeth A. Wieland, Evamarie B. Burnham, Maria Kondaurova, Tonya R. Bergeson, and Laura C. Dilley	mean, sd,	mixedmeasures anova		FALSE	2	mean, sd, mixedmeasures anova 
Journal of Speech, Language, and Hearing Research	58	2	The Use of Hand Gestures to Communicate About Nonpresent Objects in Mind Among Children With Autism Spectrum Disorder	WingChee So, Ming Lui, TzeKiu Wong, and LongTin Sit	mean, sd,	ttest, Pearson correlation coefficients,		FALSE	3	mean, sd, ttest, Pearson correlation coefficients, 
Journal of Speech, Language, and Hearing Research	58	2	The Role of Sentence Position, Allomorph, and Morpheme Type on Accurate Use of sRelated Morphemes by Children Who Are Hard of Hearing	Keegan Koehlinger, Amanda Owen Van Horne, Jacob Oleson, Ryan McCreery, and Mary Pat Moeller	mean, sd,	generalized linear mixed model with a logit link, chi2, R2, GoldmanFristoe Test of Articulation		FALSE	5	mean, sd, generalized linear mixed model with a logit link, chi2, R2, GoldmanFristoe Test of Articulation 
Journal of Speech, Language, and Hearing Research	58	2	The Efficacy of Stuttering Measurement Training: Evaluating Two Training Programs	Lauren A. Bainbridge, Candace Stavros, Mineh Ebrahimian, Yuedong Wang, and Roger J. Ingham	mean, sd,	Hotelling's T2, Cohen's D, ttest		FALSE	4	mean, sd, Hotelling's T2, Cohen's D, ttest 
Journal of Speech, Language, and Hearing Research	58	2	Reliability and Validity of the Computerized Revised Token Test: Comparison of Reading and Listening Versions in Persons With and Without Aphasia	Malcolm R. McNeil, Sheila R. Pratt, Neil Szuminsky, Jee Eun Sung, Tepanta R. D. Fossett, Wiltrud Fassbinder, and Kyoung Yuel Lim	mean, sd,	pearson's r, anova, ttest, Principal component analysis, Revised Standardized Difference Test (RSDT)		FALSE	6	mean, sd, pearson's r, anova, ttest, Principal component analysis, Revised Standardized Difference Test (RSDT) 
Journal of Speech, Language, and Hearing Research	58	2	Predicting Vocabulary Growth in Children With and Without Specific Language Impairment: A Longitudinal Study From 2;6 to 21 Years of Age	Mabel L. Rice and Lesa Hoffman	mean, sd,	R2, ML = maximum likelihood; LL = log likelihood;  = Akaike information criterion; BIC = Bayesian information criterion.		FALSE	6	mean, sd, R2, ML = maximum likelihood; LL = log likelihood;  = Akaike information criterion; BIC = Bayesian information criterion. 
Journal of Speech, Language, and Hearing Research	58	2	Phonetic Modification of Vowel Space in Storybook Speech to Infants up to 2 Years of Age	Evamarie B. Burnham, Elizabeth A. Wieland, Maria V. Kondaurova, J. Devin McAuley, Tonya R. Bergeson, and Laura C. Dilley	mean, sd	feature analysis, anova, Bonferroniâ€“Holmes , Fisher's		FALSE	5	mean, sd feature analysis, anova, Bonferroniâ€“Holmes , Fisher's 
Journal of Speech, Language, and Hearing Research	58	2	Monolingual or Bilingual Intervention for Primary Language Impairment? A Randomized Control Trial	Elin Thordardottir, GeneviÃ¨ve Cloutier, Suzanne MÃ©nard, Elaine PellandBlais, and Susan Rvachew	mean, sd,	anova, ttest.		FALSE	3	mean, sd, anova, ttest. 
Journal of Speech, Language, and Hearing Research	58	2	Morphology and Syntax in Late Talkers at Age 5	Leslie Rescorla and Hannah L. Turner		oneway analysis of variance (anova) , Studentâ€“Neumanâ€“Keuls (SNK) post hoc test, chi2, Bonferronicorrected p, oneway anova,		FALSE	6	 oneway analysis of variance (anova) , Studentâ€“Neumanâ€“Keuls (SNK) post hoc test, chi2, Bonferronicorrected p, oneway anova, 
Journal of Speech, Language, and Hearing Research	58	2	List Memory in Young Adults With Language Learning Disability	Li Sheng, Courtney T. Byrd, Karla K. McGregor, Hannah Zimmerman, and Kadee Bludau	mean, sd,	ttest, mixedmodel analysis of variance, chi2,		FALSE	4	mean, sd, ttest, mixedmodel analysis of variance, chi2, 
Journal of Speech, Language, and Hearing Research	58	2	Lexical Effects on Children's Speech Processing: Individual Differences Reflected in the AutismSpectrum Quotient (AQ)	Mitsuhiko Ota, Mary E. Stewart, Alexandra M. Petrou, and Catherine Dickie	d prime, mean, sd,	twoway repeated measures analysis of variance, mixedeffects models with a logistic link function, odds ratio,chi2, Classification and regression tree		FALSE	7	d prime, mean, sd, twoway repeated measures analysis of variance, mixedeffects models with a logistic link function, odds ratio,chi2, Classification and regression tree 
Journal of Speech, Language, and Hearing Research	58	2	Kinematic Measurements of the VocalFold Displacement Waveform in Typical Children and Adult Populations: Quantification of HighSpeed Endoscopic Videos	Rita Patel, Kevin D. Donohue, Harikrishnan Unnikrishnan, and Richard J. Kryscio	mean, sd,	chi2, mixedeffects logistic regression, likelihoodratio test and the Akaike Information Criterion,		FALSE	5	mean, sd, chi2, mixedeffects logistic regression, likelihoodratio test and the Akaike Information Criterion, 
Journal of Speech, Language, and Hearing Research	58	2	Individual Sensitivity to Spectral and Temporal Cues in Listeners With Hearing Impairment	Pamela E. Souza, Richard A. Wright, Michael C. Blackburn, Rachael Tatman, and Frederick J. Gallun		bivariate kernel density estimation, linear discriminant analysis , pearson's r, chi2,		FALSE	4	 bivariate kernel density estimation, linear discriminant analysis , pearson's r, chi2, 
Journal of Speech, Language, and Hearing Research	58	2	Grammatical Aspect Is a Strength in the Language Comprehension of Young Children With Autism Spectrum Disorder	Andrea T. Tovar, Deborah Fein, and Letitia R. Naigles	mean, sd,	pearson's r, anova,		FALSE	3	mean, sd, pearson's r, anova, 
Journal of Speech, Language, and Hearing Research	58	2	Feedforward and Feedback Control in Apraxia of Speech: Effects of Noise Masking on Vowel Production	Edwin Maas, MarjaLiisa Mailend, and Frank H. Guenther		anovas,		FALSE	1	 anovas, 
Journal of Speech, Language, and Hearing Research	58	2	FaceReferenced Measurement of Perioral Stiffness and Speech Kinematics in Parkinson's Disease	Shin Ying Chu, Steven M. Barlow, and Jaehoon Lee		Bayesian differences in magnitude of condition effects		FALSE	1	 Bayesian differences in magnitude of condition effects 
Journal of Speech, Language, and Hearing Research	58	2	Environmental Sound Training in Cochlear Implant Users	Valeriy Shafiro, Stanley Sheft, Sejal Kuvadia, and Brian Gygi	mean	oneway analyses of variance		FALSE	2	mean oneway analyses of variance 
Journal of Speech, Language, and Hearing Research	58	2	Effects of Verb Familiarity on Finiteness Marking in Children With Specific Language Impairment	Alyson D. Abel, Mabel L. Rice, and Daniel E. Bontempo	mean, sd,	ttest, cohen's d, ztest, Individual Component Analysis		FALSE	5	mean, sd, ttest, cohen's d, ztest, Individual Component Analysis 
Journal of Speech, Language, and Hearing Research	58	2	Effects of Hearing and Aging on SentenceLevel TimeGated Word Recognition	Michelle R. Molis, Sean D. Kampel, Garnett P. McMillan, Frederick J. Gallun, Serena M. Dann, and Dawn KonradMartin	mean, sd,	Pearson's correlation coefficient, Two OneSided Test, linear regression model		FALSE	4	mean, sd, Pearson's correlation coefficient, Two OneSided Test, linear regression model 
Journal of Speech, Language, and Hearing Research	58	2	Effect of Speaker Gaze on Word Learning in Fragile X Syndrome: A Comparison With Nonsyndromic Autism Spectrum Disorder	David P. Benjamin, Andrea S. McDuffie, Angela J. Thurman, Sara T. Kover, Ann M. Mastergeorge, Randi J. Hagerman, and Leonard Abbeduto		ttest, chi2	novel methods,	FALSE	3	 ttest, chi2 novel methods,
Journal of Speech, Language, and Hearing Research	58	2	Critical Thinking About Fables: Examining Language Production and Comprehension in Adolescents	Marilyn A. Nippold, Megan W. FrantzKaspar, Paige M. Cramond, Cecilia Kirk, Christine HaywardMayhew, and Melanie MacKinnon	mean, sd,	pearson's r,		FALSE	2	mean, sd, pearson's r, 
Journal of Speech, Language, and Hearing Research	58	2	Children's Perception of Conversational and Clear AmericanEnglish Vowels in Noise	Dorothy Leone and Erika S. Levy	mean, sd,	chi2 or ttest, pearson's r,		FALSE	4	mean, sd, chi2 or ttest, pearson's r, 
Journal of Speech, Language, and Hearing Research	58	2	At the Intersection of Cognition and Grammar: Deficits Comprehending Counterfactuals in Turkish Children With Specific Language Impairment	Tuba Yarbay Duman, Elma Blom, and Seyhun TopbaÅŸ	mean, sd,	ttest, pearson's r, Bonferroni correction, twoway mixed repeated measures anova ,		FALSE	5	mean, sd, ttest, pearson's r, Bonferroni correction, twoway mixed repeated measures anova , 
Journal of Speech, Language, and Hearing Research	58	2	Anomalous White Matter Morphology in Adults Who Stutter	Matthew Cieslak, Roger J. Ingham, Janis C. Ingham, and Scott T. Grafton			novel model	FALSE	1	  novel model
Journal of Speech, Language, and Hearing Research	58	2	All Cues Are Not Created Equal: The Case for Facilitating the Acquisition of Typical Weighting Strategies in Children With Hearing Loss	Joanna H. Lowenstein and Susan Nittrouer	mean, sd, dâ€²,	logistic regression , twoway repeated measures analysis of variance , ttest, Oneway anova, post hoc comparisons with Bonferroni adjustments		FALSE	7	mean, sd, dâ€², logistic regression , twoway repeated measures analysis of variance , ttest, Oneway anova, post hoc comparisons with Bonferroni adjustments 
Journal of Speech, Language, and Hearing Research	58	2	Acceptance Noise Level: Effects of the Speech Signal, Babble, and Listener Language	LuFeng Shi, Gabrielly Azcona, and Lupe Buten	mean, sd,	ttest, anova ,		FALSE	3	mean, sd, ttest, anova , 
Journal of Speech, Language, and Hearing Research	58	2	Effective Identification of Functional Hearing Loss Using Behavioral Threshold Measures	Robert S. Schlauch, Tess K. Koerner, and Lynne Marshall				TRUE	0	  
Journal of the Acoustical Society of America (Speech Communication)	137	5	The role of spectral cues in timbre discrimination by ferrets and humans	Stephen M. Town, Huriye Atilgan, Katherine C. Wood and Jennifer K. Bizley		Linear regression, multiple logistic regression model, analysis of deviance, chi2 ,		FALSE	4	 Linear regression, multiple logistic regression model, analysis of deviance, chi2 , 
Journal of the Acoustical Society of America (Speech Communication)	137	5	The early maximum likelihood estimation model of audiovisual integration in speech perception	Tobias S. Andersen		anova,	Gaussian model without integration, Gaussian late MLE model, The FLMP,	FALSE	4	 anova, Gaussian model without integration, Gaussian late MLE model, The FLMP,
Journal of the Acoustical Society of America (Speech Communication)	137	5	Speech timing and linguistic rhythm: On the acoustic bases of rhythm typologies	Tamara V. Rathcke and Rachel H. Smith		chi2, bysubject analysis of variance, linear mixed effects models		FALSE	3	 chi2, bysubject analysis of variance, linear mixed effects models 
Journal of the Acoustical Society of America (Speech Communication)	137	5	Speech perception of sinewave signals by children with cochlear implants	Susan Nittrouer, Jamie Kuess and Joanna H. Lowenstein	mean, sd,	two separate repeatedmeasures analyses of variance (anovas), ttest, linear regression		FALSE	5	mean, sd, two separate repeatedmeasures analyses of variance (anovas), ttest, linear regression 
Journal of the Acoustical Society of America (Speech Communication)	137	5	Invariance in vowel systems	Masatoshi Funabashi		Ftest	twodimensional Gaussian distribution	FALSE	2	 Ftest twodimensional Gaussian distribution
Journal of the Acoustical Society of America (Speech Communication)	137	5	Expectations and speech intelligibility	Molly Babel and Jamie Russell	mean, sd,	hierarchical linear regression model, ttest,		FALSE	3	mean, sd, hierarchical linear regression model, ttest, 
Journal of the Acoustical Society of America (Speech Communication)	137	5	Effects of realtime cochlear implant simulation on speech productiona)	Elizabeth D. Casserly		RManova, post hoc Bonferroni		FALSE	2	 RManova, post hoc Bonferroni 
Journal of the Acoustical Society of America (Speech Communication)	137	5	Effects of contextual cues on speech recognition in simulated electricacoustic stimulation	YingYee Kong, Gail Donaldson and Ala Somarowthu		ttest, ShapiroWilk test, Wilcoxon SignedRanks test, MannWhitney, KruskalWallis , Pearson's R,		FALSE	6	 ttest, ShapiroWilk test, Wilcoxon SignedRanks test, MannWhitney, KruskalWallis , Pearson's R, 
Journal of the Acoustical Society of America (Speech Communication)	137	5	Effect of the division between early and late reflections on intelligibility of ideal binarymasked speech	Junfeng Li, Risheng Xia, Qiang Fang, Aijun Li, Jielin Pan and Yonghong Yan		Threeway analysis of variance (anova) with repeated measures	Modelbased mixing time estimator, Abel's mixing time estimator	FALSE	3	 Threeway analysis of variance (anova) with repeated measures Modelbased mixing time estimator, Abel's mixing time estimator
Journal of the Acoustical Society of America (Speech Communication)	137	5	An ultrasound study of Canadian French rhotic vowels with polar smoothing spline comparisonsa)	Jeff Mielke		smoothing spline analysis of variance SSanova, Tukey post hoc comparisons, mixed effects regressions		FALSE	3	 smoothing spline analysis of variance SSanova, Tukey post hoc comparisons, mixed effects regressions 
Journal of the International Phonetic Association	45	1	Place of articulation of anterior nasal versus oral stops in Croatian	Marko Liker and Fiona E. Gibbon	mean, sd,	twoway anova, Heteroscedatic ttest		FALSE	3	mean, sd, twoway anova, Heteroscedatic ttest 
Journal of the International Phonetic Association	45	1	Phonetics of Tongan stress	Marc Garellek and James White		Linear mixedeffects analysis, anova, Markov Chain Monte Carlo, chi2, Wilks's Lambda, linear discriminant analysis		FALSE	6	 Linear mixedeffects analysis, anova, Markov Chain Monte Carlo, chi2, Wilks's Lambda, linear discriminant analysis 
Journal of the International Phonetic Association	45	1	Is the Portuguese version of the passage â€˜The North Wind and the Sun phonetically balanced?	Luis M. T. Jesus and Ana Rita S. Valente and Andreia Hall		chi2, Pearson's test statistic with Yate's continuity correction		FALSE	2	 chi2, Pearson's test statistic with Yate's continuity correction 
Laboratory Phonology	6	1	The timing of nuclear falls: Evidence from Dutch, West Frisian, Dutch Low Saxon, German Low Saxon, and High German	JÃ¶rg Peters1 / Judith Hanssen2 / Carlos Gussenhoven2	proportion, mean,	mixedeffect model , Restricted Maximum Likelihood , anova		FALSE	5	proportion, mean, mixedeffect model , Restricted Maximum Likelihood , anova 
Laboratory Phonology	6	1	The relationship between prosodic weakening and sound change: evidence from the German tense/lax vowel contrast	Harrington, Jonathan / Kleber, Felicitas / Reubold, Ulrich / Siddins, Jessica	probaility density,	repeated measures anova, Bonferroni corrected ttests		FALSE	3	probaility density, repeated measures anova, Bonferroni corrected ttests 
Laboratory Phonology	6	1	Syllable structure and word stress effects in Peninsular Spanish nuclear accents	Henriksen, Nicholas				FALSE	0	  
Laboratory Phonology	6	1	Prosodic boundary strength guides syntactic parsing of French utterances	Michelas, Amandine / DImperio, Mariapaola				FALSE	0	  
Language	91	2	The role of the language production system in shaping grammars	Dana McDaniel, Cecile McKee, Wayne Cowart, Merrill F. Garrett		ttest,		FALSE	1	 ttest, 
Language	91	2	Polarity particle responses as a window onto the interpretation of questions and assertions	Floris Roelofsen, Donka F. Farkas	mean,			FALSE	1	mean,  
Language	91	2	Patterns of contrast in phonological change: Evidence from Algonquian vowel systems	Will Oxford				TRUE	0	  
Language	91	2	Mobile object markers in Moro: The role of tone	Peter Jenks, Sharon Rose				TRUE	0	  
Language	91	2	Case alternations in Ancient Greek passives and the typology of Case	Elena Anagnostopoulou, Christina Sevdali				TRUE	0	  
Language Acquisition	22	3	The Effect of Input on Childrens CrossCategorical Use of Polysemous NounVerb Pairs	Marie Lippeveld & Yuriko OshimaTakane	mean,	twotailed ttest, pearson's r, Single sample ttests ,		FALSE	4	mean, twotailed ttest, pearson's r, Single sample ttests , 
Language Acquisition	22	3	Object Clitic Omission in Child Spanish: Evaluating Representational and Processing Accounts	Victoria Eugenia Mateu	mean,	Spearmans r, chi2, Nagelkerke R2, Pearsons, r, McNemar test, mixed effects logistic regression model		FALSE	7	mean, Spearmans r, chi2, Nagelkerke R2, Pearsons, r, McNemar test, mixed effects logistic regression model 
Language Acquisition	22	3	Bootstrapping the Syntactic Bootstrapper: Probabilistic Labeling of Prosodic Phrases	Ariel Gutman, Isabelle Dautriche, BenoÃ®t CrabbÃ© & Anne Christophe	Precision and Recall , discriminatory power.		Naive Bayes model	FALSE	3	Precision and Recall , discriminatory power.  Naive Bayes model
Language and Linguistics Compass	9	6	Hong Kong English: Linguistic and Sociolinguistic Perspectives	Chit Cheung Matthew Sung	mean,			FALSE	1	mean,  
Language and Linguistics Compass	9	6	White Hiphoppers	Cecelia Cutler				TRUE	0	  
Language and Linguistics Compass	9	6	Sociolinguistic Variation and Language Contact	Maya Ravindranath				TRUE	0	  
Language and Speech	58	2	The Contribution of Segmental and Tonal Information in Mandarin Spoken Word Processing	Joan A Sereno and Hyunjung Lee	mean, st. error	Fstatistic, lmer, ttest, Markov chain Monte Carlo method		FALSE	5	mean, st. error Fstatistic, lmer, ttest, Markov chain Monte Carlo method 
Language and Speech	58	2	Stop and Fricative Devoicing in European Portuguese, Italian and German	Daniel Pape and Luis MT Jesus	mean, standard error	logit models with mixed effects, (zscores, Generalized Linear MixedModel, GLMM, Logit models (GLM)		FALSE	6	mean, standard error logit models with mixed effects, (zscores, Generalized Linear MixedModel, GLMM, Logit models (GLM) 
Language and Speech	58	2	Marked Initial Pitch in Questions Signals Marked Communicative Function	Mark A Sicoli, Tanya Stivers, NJ Enfield, and Stephen C Levinson	mean,	intraclass correlationcoefficient, Generalized LinearLatent and Mixed Model , ttest, multivariate logistic regression		FALSE	6	mean, intraclass correlationcoefficient, Generalized LinearLatent and Mixed Model , ttest, multivariate logistic regression 
Language and Speech	58	2	Inferring Difficulty: Flexibility in the Realtime Processing of Disfluency	Daphna Heller, Jennifer E Arnold, Natalie Klein, and Michael K Tanenhaus		repeatedmeasures anova,		FALSE	1	 repeatedmeasures anova, 
Language and Speech	58	2	Effects of Age, Sex and Syllable Number on Voice Onset Time: Evidence from Childrens Voiceless Aspirated Stops	Vickie Y Yu, Luc F De Nil, and Elizabeth W Pang	mean, range, sd, . Coefficient of variance	Pearsons productmoment correlation, twoway anova, pairedsamples ttests (twotailed)		FALSE	6	mean, range, sd, . Coefficient of variance Pearsons productmoment correlation, twoway anova, pairedsamples ttests (twotailed) 
Language and Speech	58	2	Dont Listen With Your Mouth Full: The Role of Facial Motor Action in Visual Speech Perception	Angela C Turner, Daniel N McIntosh, and Eric J Moody	mean, sd	anova,		FALSE	2	mean, sd anova, 
Language and Speech	58	2	Consonants are More Important than Vowels in the Boubakiki Effect	Mathilde Fort, Alexander Martin, and Sharon Peperkamp	mean, sd,	logistic mixedeffects model, ttest, oneway anova,		FALSE	4	mean, sd, logistic mixedeffects model, ttest, oneway anova, 
Language and Speech	58	2	Automaticity and Stability of Adaptation to a ForeignAccented Speaker	Marijt J Witteman, Neil P Bardhan, Andrea Weber, and James M McQueen	mean, sd,	ttest, general linear model, repeated measure analyses of variance (anovas)		FALSE	4	mean, sd, ttest, general linear model, repeated measure analyses of variance (anovas) 
Language in Society	44	2	â€œShe does have an accent butâ€¦â€: Race and language ideology in students' evaluations of mathematics instructors on RateMyProfessors.com	Nicholas Close Subtirelu	mean, sd, median,	Wilcoxon rank sum tests, ShapiroWilk tests, Gsquared		FALSE	5	mean, sd, median, Wilcoxon rank sum tests, ShapiroWilk tests, Gsquared 
Language in Society	44	2	Sweet voice: The role of voice quality in a Japanese feminine style	Rebecca L. Starr	proportion	chi2		FALSE	2	proportion chi2 
Language in Society	44	2	What's so improper about fractions? Prescriptivism and language socialization at Math Corps	STEPHEN CHRISOMALIS				TRUE	0	  
Language in Society	44	2	Translinguistic apposition in a multilingual media blog in Rwanda: Towards an interpretive perspective in language policy research	Joseph Gafaranga				TRUE	0	  
Language Resources and Evaluation	49	2	The Chinese Discourse TreeBank: a Chinese corpus annotated with discourse relations	Yuping Zhou, Nianwen Xue	accuracy,			FALSE	1	accuracy,  
Language Resources and Evaluation	49	2	Text Categorization from category name in an industrymotivated scenario	Chaya Liebeskind, Lili Kotlerman, Ido Dagan	F1, recall, precision,	twosided Wilcoxon signed rank sum test	e Explicit Semantic Analysis (ESA), Latent Dirichlet Allocation (LDA)	FALSE	6	F1, recall, precision, twosided Wilcoxon signed rank sum test e Explicit Semantic Analysis (ESA), Latent Dirichlet Allocation (LDA)
Language Resources and Evaluation	49	2	Romanian phonetic transcription dictionary for speeding up language technology development	JÃ³zsef Domokos, Ovidiu Buza, Gavril Toderean	error, mean			FALSE	1	error, mean  
Language Resources and Evaluation	49	2	Efficient data selection for ASR	Neil Taylor Kleynhans, Etienne Barnard	mean, accuracy	twotailed test	HMM	FALSE	4	mean, accuracy twotailed test HMM
Language Resources and Evaluation	49	2	Dependency structure annotation in the IULA Spanish LSP Treebank	Montserrat Marimon, NÃºria Bel	counts			FALSE	1	counts  
Language Resources and Evaluation	49	2	A qualitative comparison method for rhetorical structures: identifying different discourse structures in multilingual corpora	Mikel Iruskieta, Iria da Cunha, Maite Taboada	recall, precision,	Fleiss Kappa		FALSE	2	recall, precision, Fleiss Kappa 
Language Resources and Evaluation	49	2	An unsupervised method for identifying loanwords in Korean	Hahn Koo	precision, recall, and Fscore	bootstrapping,		FALSE	3	precision, recall, and Fscore bootstrapping, 
Language Resources and Evaluation	49	2	A massively parallel corpus: the Bible in 100 languages	Christos Christodouloupoulos, Mark Steedman	sd,			FALSE	1	sd,  
Language Variation and Change	27	2	The emergence of negative concord in Santa MarÃ­a Chiquimula K'ichee (Mayan): A variationist perspective	Sergio Romero		binomial regression		FALSE	1	 binomial regression 
Language Variation and Change	27	2	Country ideology and the California Vowel Shift	Robert J. Podesva and Annette D'Onofrio and Janneke Van Hofwegen and Seung Kyung Kim	mean, Normalized Euclidean distance			FALSE	1	mean, Normalized Euclidean distance  
Language Variation and Change	27	2	Constraints on ellipsis alternation: A view from the history of English	Joanna Nykiel	mean,	chi2, logistic regression model		FALSE	3	mean, chi2, logistic regression model 
Language Variation and Change	27	2	Consonant lenition as a sociophonetic variable in Murrinh Patha (Australia)	John Basil Mansfield	mean,	Rbrul mixedeffects analysis, multivariate analysis		FALSE	3	mean, Rbrul mixedeffects analysis, multivariate analysis 
Lingua	160		Vocalic labialization in Baghdadi Arabic: Representation and computation	Islam Youssef				TRUE	0	  
Lingua	160		Selfrepairs as right node raising constructions	E. Matthew Husband				TRUE	0	  
Lingua	160		On longdistance thetarole assignment	AndrÃ©s Saab				TRUE	0	  
Lingua	160		Perceptual discrimination across contexts and contrasts in preschoolaged children	Tara McAllister Byun	logistic mixed model, spearman's correlation, exact binomial test, perceptual distance, ttest				5	logistic mixed model, spearman's correlation, exact binomial test, perceptual distance, ttest  
Lingua	160		Intonational variation and change in Scottish Gaelic	Claire Nance	Signal Detection Theory, dprime, multiple linear regression, mixed effects multiple logistic regres				4	Signal Detection Theory, dprime, multiple linear regression, mixed effects multiple logistic regres  
Lingua	160		Hiphop rhymes reiterate phonological typology	Jonah Katz	Biased Choice Model (BCM), linear mixedeffects regression analysis, ztest, likelihood ratio test				4	Biased Choice Model (BCM), linear mixedeffects regression analysis, ztest, likelihood ratio test  
Linguistic Inquiry	32	4	Movement Operations after Syntax	David Embick , Rolf Noyer				TRUE	0	  
Linguistic Inquiry	32	4	Binding of Indeterminate Pronouns and Clause Structure in Japanese	Hideki Kishimoto				TRUE	0	  
Linguistics and Philosophy	38	2	What do quantifier particles do?	Anna Szabolcsi				TRUE	0	  
Linguistics and Philosophy	38	2	A forcetheoretic framework for event structure	Bridget Copley, Heidi Harley				TRUE	0	  
Mental Lexicon	10	1	On the sonority levels of fricatives and stops	Tracy Lennertz and Iris Berent				FALSE	0	  
Mental Lexicon	10	1	Morphology constrains native and nonnative word formation in different ways : Evidence from plurals inside compounds	Harald Clahsen, Sabrina Gerth, Vera Heyer and Esther Schott	mean, sd,	Paired samples ttests, Linear mixedeffects models, Cohens d		FALSE	4	mean, sd, Paired samples ttests, Linear mixedeffects models, Cohens d 
Mental Lexicon	10	1	Making sense of the Sense Model: Translation priming with JapaneseEnglish bilinguals	David Allen, Kathy Conklin and Walter J.B. van Heuven	mean, sd,	mixed effects modelling, ttest, anova, pearson's r		FALSE	5	mean, sd, mixed effects modelling, ttest, anova, pearson's r 
Mental Lexicon	10	1	Connecting the research fields of lexical ambiguity and figures of speech: Polysemy effects for conventional metaphors and metonyms	Bernadet Jager and Alexandra A. Cleland				FALSE	0	  
